Attractive
Bald
Beautiful
Chubby
Clean
Dazzling
Drab
Elegent
Fancy
Fit
Flabby
Glamorous
Gorgeous
Handsome
Magnificent
Muscular
Plain
Plump
Scruffy
Shapely
Skinny
Stocky
Unclean
Agreeable
Ambitious
Brave
Calm
Delightful
Eager
Faithful
Gentle
Happy
Jolly
Kind
Lively
Obedient
Polite
Proud
Silly
Thankful
Wonderful
Witty
Angry
Clumsy
Fierce
Grumpy
Lazy
Nervous
Scary
Worried
Big
Fat
Gigantic
Small
Tall
Short
Tiny
Small
Obnoxious
Shiny
Warm
Cold
